model,steering_mechanism,layer,alpha,n,ER_mean,ER_pct_0,ER_pct_1,ER_pct_2,delta_vs_unsteered,delta_vs_alpha0,EX_mean,EX_pct_0,EX_pct_1,EX_pct_2,IP_mean,IP_pct_0,IP_pct_1,IP_pct_2
qwen25,ER,19,2.0,200,1.345,0.045,0.565,0.39,0.2099999999999999,0.2099999999999999,,,,,,,,
qwen25,ER,23,-1.0,200,1.015,0.185,0.615,0.2,-0.1200000000000001,-0.1200000000000001,,,,,,,,
qwen25,ER,23,0.0,200,1.135,0.15,0.565,0.285,0.0,0.0,,,,,,,,
qwen25,ER,23,1.0,200,1.235,0.115,0.535,0.35,0.1,0.1,,,,,,,,
qwen25,ER,23,2.0,200,1.265,0.1,0.535,0.365,0.1299999999999999,0.1299999999999999,,,,,,,,
qwen25,ER,27,-1.0,200,1.14,0.18,0.5,0.32,0.0049999999999998,0.0049999999999998,,,,,,,,
qwen25,ER,27,0.0,200,1.135,0.15,0.565,0.285,0.0,0.0,,,,,,,,
qwen25,ER,27,1.0,200,1.03,0.2,0.57,0.23,-0.1049999999999999,-0.1049999999999999,,,,,,,,
qwen25,ER,27,2.0,200,0.89,0.27,0.57,0.16,-0.245,-0.245,,,,,,,,
mistral7b,ER,3,-1.0,200,1.015,0.19,0.605,0.205,-0.0150000000000001,-0.0150000000000001,,,,,,,,
mistral7b,ER,3,0.0,200,1.03,0.175,0.62,0.205,0.0,0.0,,,,,,,,
mistral7b,ER,3,1.0,200,1.045,0.18,0.595,0.225,0.0149999999999999,0.0149999999999999,,,,,,,,
mistral7b,ER,3,2.0,200,1.09,0.135,0.64,0.225,0.06,0.06,,,,,,,,
mistral7b,ER,7,-1.0,200,0.935,0.255,0.555,0.19,-0.0949999999999999,-0.0949999999999999,,,,,,,,
mistral7b,ER,7,0.0,200,1.03,0.175,0.62,0.205,0.0,0.0,,,,,,,,
mistral7b,ER,7,1.0,200,1.045,0.17,0.615,0.215,0.0149999999999999,0.0149999999999999,,,,,,,,
mistral7b,ER,7,2.0,200,1.165,0.105,0.625,0.27,0.135,0.135,,,,,,,,
mistral7b,ER,11,-1.0,200,0.885,0.305,0.505,0.19,-0.145,-0.145,,,,,,,,
mistral7b,ER,11,0.0,200,1.03,0.175,0.62,0.205,0.0,0.0,,,,,,,,
mistral7b,ER,11,1.0,200,1.06,0.135,0.67,0.195,0.03,0.03,,,,,,,,
mistral7b,ER,11,2.0,200,1.13,0.08,0.71,0.21,0.0999999999999998,0.0999999999999998,,,,,,,,
mistral7b,ER,15,-1.0,200,0.74,0.355,0.55,0.095,-0.29,-0.29,,,,,,,,
mistral7b,ER,15,0.0,200,1.03,0.175,0.62,0.205,0.0,0.0,,,,,,,,
mistral7b,ER,15,1.0,200,1.15,0.105,0.64,0.255,0.1199999999999998,0.1199999999999998,,,,,,,,
mistral7b,ER,15,2.0,200,1.185,0.01,0.795,0.195,0.155,0.155,,,,,,,,
mistral7b,ER,19,-1.0,200,0.825,0.315,0.545,0.14,-0.205,-0.205,,,,,,,,
mistral7b,ER,19,0.0,200,1.03,0.175,0.62,0.205,0.0,0.0,,,,,,,,
mistral7b,ER,19,1.0,200,1.14,0.09,0.68,0.23,0.1099999999999998,0.1099999999999998,,,,,,,,
mistral7b,ER,19,2.0,200,1.145,0.065,0.725,0.21,0.1149999999999999,0.1149999999999999,,,,,,,,
mistral7b,ER,23,-1.0,200,0.855,0.28,0.585,0.135,-0.175,-0.175,,,,,,,,
mistral7b,ER,23,0.0,200,1.03,0.175,0.62,0.205,0.0,0.0,,,,,,,,
mistral7b,ER,23,1.0,200,1.11,0.135,0.62,0.245,0.08,0.08,,,,,,,,
mistral7b,ER,23,2.0,200,1.055,0.12,0.705,0.175,0.0249999999999999,0.0249999999999999,,,,,,,,
mistral7b,ER,27,-1.0,200,0.94,0.23,0.6,0.17,-0.09,-0.09,,,,,,,,
mistral7b,ER,27,0.0,200,1.03,0.175,0.62,0.205,0.0,0.0,,,,,,,,
mistral7b,ER,27,1.0,200,1.07,0.16,0.61,0.23,0.04,0.04,,,,,,,,
mistral7b,ER,27,2.0,200,0.955,0.18,0.685,0.135,-0.075,-0.075,,,,,,,,
mistral7b,ER,31,-1.0,200,0.0,1.0,0.0,0.0,-1.03,-1.03,,,,,,,,
mistral7b,ER,31,0.0,200,1.03,0.175,0.62,0.205,0.0,0.0,,,,,,,,
mistral7b,ER,31,1.0,200,0.005,0.995,0.005,0.0,-1.025,-1.025,,,,,,,,
mistral7b,ER,31,2.0,200,0.0,1.0,0.0,0.0,-1.03,-1.03,,,,,,,,
llama31,EX,3,-1.0,200,,,,,0.03,0.03,0.18,0.91,0.0,0.09,,,,
llama31,EX,3,0.0,200,,,,,0.0,0.0,0.15,0.925,0.0,0.075,,,,
llama31,EX,3,1.0,200,,,,,0.06,0.06,0.21,0.895,0.0,0.105,,,,
llama31,EX,3,2.0,200,,,,,0.09,0.09,0.24,0.88,0.0,0.12,,,,
llama31,EX,7,-1.0,200,,,,,0.08,0.08,0.23,0.885,0.0,0.115,,,,
llama31,EX,7,0.0,200,,,,,0.0,0.0,0.15,0.925,0.0,0.075,,,,
llama31,EX,7,1.0,200,,,,,0.3,0.3,0.45,0.775,0.0,0.225,,,,
llama31,EX,7,2.0,200,,,,,1.15,1.15,1.3,0.35,0.0,0.65,,,,
llama31,EX,11,-1.0,200,,,,,0.03,0.03,0.18,0.91,0.0,0.09,,,,
llama31,EX,11,0.0,200,,,,,0.0,0.0,0.15,0.925,0.0,0.075,,,,
llama31,EX,11,1.0,200,,,,,0.49,0.49,0.64,0.68,0.0,0.32,,,,
llama31,EX,11,2.0,200,,,,,1.26,1.26,1.41,0.295,0.0,0.705,,,,
llama31,EX,15,-1.0,200,,,,,-0.1099999999999999,-0.1099999999999999,0.04,0.98,0.0,0.02,,,,
llama31,EX,15,0.0,200,,,,,0.0,0.0,0.15,0.925,0.0,0.075,,,,
llama31,EX,15,1.0,200,,,,,0.57,0.57,0.72,0.64,0.0,0.36,,,,
llama31,EX,15,2.0,200,,,,,0.93,0.93,1.08,0.46,0.0,0.54,,,,
llama31,EX,19,-1.0,200,,,,,-0.0399999999999999,-0.0399999999999999,0.11,0.945,0.0,0.055,,,,
llama31,EX,19,0.0,200,,,,,0.0,0.0,0.15,0.925,0.0,0.075,,,,
llama31,EX,19,1.0,200,,,,,0.5399999999999999,0.5399999999999999,0.69,0.655,0.0,0.345,,,,
llama31,EX,19,2.0,200,,,,,1.56,1.56,1.71,0.145,0.0,0.855,,,,
llama31,EX,23,-1.0,200,,,,,-0.12,-0.12,0.03,0.985,0.0,0.015,,,,
llama31,EX,23,0.0,200,,,,,0.0,0.0,0.15,0.925,0.0,0.075,,,,
