model,n_shift_rows,n_personas,per_sample_mechanism_fraction_mean,per_sample_mechanism_fraction_median,persona_mean_mechanism_fraction_mean,persona_mean_mechanism_fraction_median,persona_mean_residual_fraction_mean,residual_pca_top2_variance,residual_pca_top5_variance
Llama,2000,10,0.018487278000385,0.0126278852746437,0.0263785977055834,0.022386965225164,0.9736214023180556,0.1664861048981089,0.2749300113274236
Mistral,2000,10,0.0179956773198214,0.0108763172713497,0.0299927861461939,0.0142192087369467,0.9700072140478774,0.2036737323038657,0.298610390037737
Qwen,2000,10,0.0262534588228878,0.01814597372313,0.0307726958720269,0.0289521390774873,0.9692273043420044,0.1702211717335515,0.2960352395057216
